-0.2 -0.4 4.4 5.2 0.7 9.7 
-0.3 1.1 2.8 1.1 0 4.7 
-0.3 1.5 -1.4 -0.5 1.8 1.1 
-0.4 -0.8 -3.4 -2.9 -1.3 -8.8 
-0.4 0 4.3 7.8 0 11.7 
-0.4 1.1 -3.4 2.8 -3.2 -3.1 
-0.4 3 2.4 -2.9 2.5 4.6 
-0.6 -0.4 2.9 0.7 -0.5 2.1 
-0.6 -0.8 2.8 -2.4 0.3 -0.7 
-0.7 -0.4 -0.6 -1.2 -1.2 -4.1 
-0.7 0 -2.4 1.8 -1.6 -2.9 
-0.7 0 5.8 2.5 1.1 8.7 
-0.7 0 7.4 3.7 0 10.4 
-0.7 1.5 -0.3 -2.1 0.3 -1.3 
-1.1 -0.4 0.4 0.6 1.4 0.9 
-1.1 0 -1.3 0 0 -2.4 
-1.1 1.5 8.9 1.1 0 10.4 
-1.3 1.5 9.7 2.2 1.1 13.2 
-1.4 0 1.8 0 0 0.4 
-2.3 -0.8 -0.4 -0.8 -0.4 -4.7 
-2.3 -0.8 9.9 -1 -1.3 4.5 
-2.9 0 0.7 0 4.1 1.9 
-3 -0.8 -2.1 2.1 1 -2.8 
-3.2 0 8.8 2.1 2.9 10.6 
-3.8 -0.4 10 1.1 0 6.9 
-3.8 3 -1.8 -0.4 1.4 -1.6 
0 0 3.2 1 2.2 6.4 
0 1.5 4.3 -0.4 -0.9 4.5 
0.1 -0.8 -3.3 -2.4 -2.8 -9.2 
0.1 1.5 3.2 -0.9 -2 1.9 
0.3 0 0.3 4.5 0 5.1 
0.4 -0.4 2.7 3.3 -1.6 4.4 
0.4 0 -0.1 2.6 0 2.9 
0.4 0 -1.3 0.7 -1.2 -1.4 
0.4 1.1 -0.3 -1.7 1.4 0.9 
0.4 1.5 5.4 1.1 0.3 8.7 
0.5 -0.4 3.3 2.6 1.1 7.1 
0.5 0 -0.8 -0.4 3.3 2.6 
0.5 0 10 4.1 1.8 16.4 
0.5 0 5.4 6.3 1.1 13.3 
0.5 1.1 -1.4 3.7 0.7 4.6 
0.5 1.5 4.4 -1.2 2.6 7.8 
0.6 -0.4 10.4 0.7 0.7 12 
0.6 0 -0.6 0.7 0.3 1 
0.7 -0.4 -3.2 -2 -1.6 -6.5 
0.8 -0.4 -2 1.1 -1.2 -1.7 
0.8 -0.4 0.1 2.1 1.8 4.4 
0.8 0 0 0 -0.4 0.4 
0.8 0 1.3 -0.8 0.7 2 
0.8 1.1 5.9 0 -0.4 7.4 
0.8 1.5 2.3 0.2 -0.5 4.3 
0.9 0 -0.1 -0.8 0 0 
0.9 0 -1.3 0 -0.8 -1.2 
0.9 0 -2.5 0.3 0 -1.3 
0.9 0 2 6.7 0 9.6 
1 -0.8 2.8 4.5 0 7.5 
1.1 -0.4 13.8 9.7 3.7 27.9 
1.1 0 -0.8 1.8 1.8 3.9 
1.1 0 19.8 5.6 4.4 30.9 
1.1 1.5 4 2.9 0 9.5 
1.2 -0.4 4.4 1.5 -0.8 5.9 
1.2 0 -0.3 2.1 -1.2 1.8 
1.2 0 2.4 6.7 0 10.3 
1.2 1.1 -2.2 -0.1 1.1 1.1 
1.2 1.5 0.5 -1.6 -0.5 1.1 
1.3 -0.4 -2.2 0.6 -0.8 -1.5 
1.3 -0.4 2.4 0.3 -1.2 2.4 
1.3 -0.8 -2.8 -0.8 -0.8 -3.9 
1.3 0 0.3 1.1 0 2.7 
1.4 0 14.1 3.7 6 25.2 
1.5 -0.4 0.4 -1.3 -0.1 0.1 
1.5 -0.4 13.7 6.7 0 21.5 
1.5 -0.8 -1.1 -1.7 -2.4 -4.5 
1.5 -0.8 -4.8 -0.4 -1.2 -5.7 
1.5 -0.8 0.4 -1 -1.3 -1.2 
1.5 -0.8 2.3 1.4 -0.5 3.9 
1.5 1.1 -3 -1.7 -0.9 -3 
1.5 1.1 -3.4 0.2 -1.3 -1.9 
1.5 3 2.3 -2 3.7 8.5 
1.6 -0.4 -1.6 0 -0.4 -0.8 
1.6 -0.4 0.5 2.6 1.5 5.8 
1.6 1.5 0 0 -1.6 1.5 
1.6 1.5 1.3 -0.5 0.3 4.2 
1.7 -0.8 7.4 -0.1 3.7 11.9 
1.7 0 -3.2 -1.2 -0.4 -3.1 
1.8 0 0.9 -1.6 0 1.1 
1.8 0 4.4 -0.5 0.3 6 
1.8 1.1 3.9 6.3 1.4 14.5 
1.9 -0.8 -1.1 -0.1 -0.9 -1 
1.9 1.1 -0.3 -0.9 -0.9 0.9 
1.9 1.1 -6.8 -1 0.7 -4.1 
1.9 1.1 6.5 -0.6 -2.4 6.5 
1.9 1.1 8 2.9 0.6 14.5 
10 -0.4 0.9 3.7 -1.6 12.6 
